Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,2025-07-15 00:00:00,Katalog der Ambulanten Pauschalen und TARDOC,,,,
,,,v1.1c,,,,,
,,,,,,,,
Tariftyp,Kapitel,Kapitel-Bezeichnung,Tarifposition,Bezeichnung der Tarifposition,Hinweis,Taxpunkte,Dignitäten,Dignitätsänderung
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0010,"Ärztliche Konsultation, erste 5 Min.","Umfasst alle ärztlichen Tätigkeiten, die nicht separat tarifiert sind, wie z.B. _x000D_
_x000D_
- Anamnese_x000D_
- Untersuchung des Patienten_x000D_
- Begrüssung, Verabschiedung_x000D_
- nicht besonders tarifierte Besprechungen und Untersuchungen_x000D_
- nicht besonders tarifierte Verrichtungen (z.B. bestimmte Injektionen, Verbände)_x000D_
- Begleitung zu und Übergabe (inklusive Anordnungen) an Hilfspersonal betreffend Administration_x000D_
- technische und kurative Leistungen_x000D_
- Medikamentenabgabe (in Notfallsituationen u/o als Starterabgabe)_x000D_
_x000D_
Gilt auch für:_x000D_
_x000D_
- Punktionen, Zugänge, Injektionen durch den Arzt, welche im Sprechzimmer stattfinden und nicht als integraler Bestandteil der jeweiligen Leistung in der Tarifposition abgebildet sind (Generelle Interpretation [GI-24] Kategorie 3)._x000D_
- auf Konsultation bezogene unmittelbar vorgängige und/oder anschliessende Akteneinsicht/Akteneinträge. _x000D_
- das Ausstellen von Rezepten, Zeugnissen oder Verordnungen während oder direkt im Anschluss an eine Konsultation._x000D_
_x000D_
Bei Leistungen im Auftrag des Versicherers kommt die Tarifposition (AA.15.0090) zur Anwendung._x000D_
_x000D_
Telemedizinische Grundleistungen werden über die Tarifpositionen aus dem Unterkapitel [AA.10] abgerechnet._x000D_
_x000D_
Leistungen in Abwesenheit des Patienten werden über die Tarifpositionen aus dem Unterkapitel [AA.15] abgerechnet.",19.2,9999 Alle,–
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0020,"+ Ärztliche Konsultation, jede weitere 1 Min.",\-,3.84,9999 Alle,–
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0030,"Besuch, erste 5 Min.","Umfasst alle ärztlichen Tätigkeiten, die nicht separat tarifiert sind, wie z.B. _x000D_
_x000D_
- Anamnese_x000D_
- Untersuchung des Patienten_x000D_
- Begrüssung, Verabschiedung_x000D_
- nicht besonders tarifierte Besprechungen und Untersuchungen_x000D_
- nicht besonders tarifierte Verrichtungen (z.B. bestimmte Injektionen, Verbände)_x000D_
- Begleitung zu und Übergabe (inklusive Anordnungen) an Hilfspersonal betreffend Administration_x000D_
- technische und kurative Leistungen_x000D_
- Medikamentenabgabe (in Notfallsituationen u/o als Starterabgabe)_x000D_
_x000D_
Gilt auch für:_x000D_
_x000D_
- Punktionen, Zugänge, Injektionen durch den Arzt, welche im Sprechzimmer stattfinden und nicht als integraler Bestandteil der jeweiligen Leistung in der Tarifposition abgebildet sind (Generelle Interpretation [GI-24] Kategorie 3)._x000D_
- auf Konsultation bezogene unmittelbar vorgängige und/oder anschliessende Akteneinsicht/Akteneinträge. _x000D_
- das Ausstellen von Rezepten, Zeugnissen oder Verordnungen während oder direkt im Anschluss an eine Konsultation._x000D_
_x000D_
Bei Leistungen im Auftrag des Versicherers kommt die Tarifposition (AA.15.0090) zur Anwendung._x000D_
_x000D_
Telemedizinische Grundleistungen werden über die Tarifpositionen aus dem Unterkapitel [AA.10] abgerechnet._x000D_
_x000D_
Leistungen in Abwesenheit des Patienten werden über die Tarifpositionen aus dem Unterkapitel [AA.15] abgerechnet.",19.2,9999 Alle,–
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0040,"+ Besuch, jede weitere 1 Min.",\-,3.84,9999 Alle,–
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0050,"Wegzeit, pro 1 Min.","Entschädigt wird die reine, effektive Wegzeit (Anreise und Rückkehr) für Besuche innerhalb der Versorgungsregion. Bei einem vergeblichen Besuch, kann die Wegzeit abgerechnet werden, sofern eine nachweisbare medizinische Indikation zur Abwesenheit des Patienten führte._x000D_
_x000D_
Beim Besuch mehrerer Patienten in der gleichen Besuchstour kann nur die für den Ortswechsel vom vorherigen zum nächsten Patienten aufgewendete Zeit abgerechnet werden. Die Wegzeit für die Rückkehr bemisst sich nach der Zeit für die Fahrt/Weg vom letzten Patienten zum Praxisstandort/Ausgangsort._x000D_
_x000D_
Im Zusammenhang mit Konsilien dürfen Wegzeiten nur verrechnet werden, wenn die Anwesenheit des beratenden Arztes beim Konsilium ausserhalb seiner Praxis medizinisch unabdingbar ist (z.B. am Krankenbett). _x000D_
_x000D_
Gilt nicht für _x000D_
_x000D_
- Konsilien im Spital_x000D_
- die Wegzeit des Belegarztes zwischen der Arztpraxis und dem Belegspital _x000D_
- den regulären Arbeitsweg ausserhalb eines Besucheinsatzes des Arztes",3.84,9999 Alle,–
TARDOC,AA.00,Ärztliche allgemeine Grundleistungen,AA.00.0060,"Vor-und Nachbesprechung diagnostischer/therapeutischer Eingriffe mit Patienten, pro 1 Min.","Besprechen und erklären geplanter Eingriffe (Ablauf, Chancen und Risiken) inkl. adäquater Dokumentation der erfolgten Patienteninformation._x000D_
_x000D_
Gilt auch für _x000D_
 _x000D_
- Vorbesprechungen von diagnostischen/therapeutischen Eingriffen mit Angehörigen von Kindern oder nicht gesprächsfähigen Patienten._x000D_
- die Nachbesprechung bereits durchgeführter Eingriffe und Interventionen durch den ausführenden Arzt innerhalb von 14 Tagen nach dem Eingriff, sofern die Nachbesprechung nicht in der Leistungsposition des diagnostischen/therapeutischen Eingriffs inkludiert oder anders separat tarifiert ist.",3.84,9999 Alle,–
