Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,2025-08-08 00:00:00,,Liste der Besitzstände,,,,
,TARDOC 1.4c,,,,,,
,Ambulante Pauschalen 1.1c,,,,,,
,,,,,,,
,Typ,"LNr. TARDOC
Basisfallgruppe",Bezeichnung TARDOC / Basisfallgruppe,Besitzstand anmelden möglich,Begründung,Vorgängerposition TARMED 01.09.00_BR,Bezeichnung TARMED
,Pauschale,C00.10*,-,Ja,-,32.0610,"Stereotaktische Radiotherapie, erste Fraktion"
,Pauschale,C00.10*,-,Ja,-,32.0615,"Stereotaktische Radiotherapie, zweite bis sechste Fraktion"
,Pauschale,C00.10*,-,Ja,-,32.0650,"Stereotaktische Radiochirurgie. Einmalbestrahlung zur Behandlung der solitären Hirnmetastase, als alleinige radioonkologische Leistung"
,Pauschale,C00.10*,-,Ja,-,32.0655,"Stereotaktische Radiochirurgie. Einmalbestrahlung zur Behandlung von multiplen Hirnmetastasen, Schädelbasistumore, arterio-venöse Missbildungen und primär nicht operable Hirntumore, als alleinige radioonkologische Leistung"
,Pauschale,C00.10*,-,Ja,-,32.0660,"Stereotaktische Radiochirurgie. Einmalbestrahlung mit Gamma-Knife-Technik, als alleinige radioonkologische Leistung"
,Pauschale,C00.20*,-,Ja,-,32.0810,"Regionäre Oberflächenhyperthermie zwecks Tumortherapie, pro Region"
,Pauschale,C00.20*,-,Ja,-,32.0820,"Regionäre Tiefenhyperthermie zwecks Tumortherapie, pro Region"
,Pauschale,C00.30*,-,Ja,-,32.0910,Intravaginale Brachytherapie (Zylinderapplikation)
,Pauschale,C00.30*,-,Ja,-,32.0920,Intrauterine Brachytherapie
,Pauschale,C00.30*,-,Ja,-,32.0930,"Intraluminale Brachytherapie, übrige Lokalisationen"
,Pauschale,C00.30*,-,Ja,-,32.0940,"Brachytherapie, Kontakttherapie mit Standardapplikator"
,Pauschale,C00.30*,-,Ja,-,32.0960,"Brachytherapie, Kontakttherapie mit speziell angefertigtem Applikator"
,Pauschale,C00.30*,-,Ja,-,32.0970,Interstitielle Brachytherapie
,Pauschale,C00.40*,-,Ja,-,32.0510,"Beschleunigertherapie, erstes Volumen"
,Pauschale,C00.40*,-,Ja,-,32.0710,"Ganzkörper-Bestrahlung, erste Fraktion"
,Pauschale,C00.50*,-,Ja,-,32.0410,"Röntgentherapie, Oberflächentherapie, erstes Volumen"
,Pauschale,C00.50*,-,Ja,-,32.0440,"Röntgentherapie, Halbtiefentherapie, erstes Volumen"
,Pauschale,C00.80*,-,Ja,-,31.0410,Single Photon Emissionscomputertomografie ({SPECT}) 360°/180°
,Pauschale,C00.80*,-,Ja,-,31.0430,"Positronen Emissions Tomografie ({PET}), Scannergrundleistung"
,Pauschale,C00.82*,-,Ja,-,31.0210,"Statisches Szintigramm, pro Projektion"
,Pauschale,C00.82*,-,Ja,-,31.0210,"Statisches Szintigramm, pro Projektion"
,Pauschale,C00.82*,-,Ja,-,31.0240,"Szintigrafie, schnelle Serie, pro Serie"
,Pauschale,C00.82*,-,Ja,-,31.0240,"Szintigrafie, schnelle Serie, pro Serie"
,Pauschale,C00.82*,-,Ja,-,31.0250,"Szintigrafie, dynamische Sequenz, pro 15 Min."
,Pauschale,C00.82*,-,Ja,-,31.0250,"Szintigrafie, dynamische Sequenz, pro 15 Min."
,Pauschale,C00.82*,-,Ja,-,31.0260,"Szintigrafie, physiologisch getriggerte Sequenz, pro Sequenz"
,Pauschale,C00.82*,-,Ja,-,31.0260,"Szintigrafie, physiologisch getriggerte Sequenz, pro Sequenz"
,Pauschale,C00.82*,-,Ja,-,31.0320,"Szintigrafie, Ganzkörper, pro Projektion"
,Pauschale,C00.82*,-,Ja,-,31.0320,"Szintigrafie, Ganzkörper, pro Projektion"
,Pauschale,C01.05*,-,Ja,-,05.0790,"Einlage eines Verweilkatheters, epidural"
,Pauschale,C01.05*,-,Ja,-,05.0810,"Einlage eines Verweilkatheters, intradural"
,Pauschale,C01.05*,-,Ja,-,05.0830,"Revision peripherer Anteil eines Liquorableitungssystems, jede Methode"
,Pauschale,C01.05*,-,Ja,-,05.0850,Entfernung eines ganzen Drainagesystems
,Pauschale,C01.05*,-,Ja,-,05.1910,Stereotaktische Zielpunktbestimmung/Trajektorienbestimmung mittels {CT}
,Pauschale,C01.05*,-,Ja,-,05.2250,"{VNS} Erst-Implantation, als alleinige Leistung"
,Pauschale,C01.05*,-,Ja,-,05.2270,"{VNS}-Batteriewechsel, als alleinige Leistung"
,Pauschale,C01.05*,-,Ja,-,05.2340,Rückenmarksnahe Einlage epiduraler Elektroden und Teststimulation
,Pauschale,C01.05*,-,Ja,-,21.2050,Implantation/Wechsel eines Blasenstimulators
,Pauschale,C01.06*,-,Ja,-,05.2360,Entfernung eines rückenmarksnahen Neurostimulators
,Pauschale,C01.06*,-,Ja,-,06.2170,"Operative Entfernung/Batteriewechsel bei periduraler Elektrode/Schmerztherapiesystem, als alleinige Leistung"
,Pauschale,C01.06*,-,Ja,-,21.2060,Entfernung eines Blasenstimulators
,Pauschale,C01.15*,-,Ja,-,05.2410,"Nervendekompression/Neurolyse, N. medianus u/o N. ulnaris im Karpaltunnel bzw. in der Loge de Guyon, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2420,"Nervendekompression/Neurolyse, N. tibialis  im Tarsaltunnel, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2430,"Nervendekompression/Neurolyse, N. radialis bei Pronatorsyndrom oder Supinatorsyndrom, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2440,"Nervendekompression/Neurolyse, N. ulnaris im Sulcus, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2450,"Nervendekompression/Neurolyse, N. ulnaris und Vorverlagerung des Nervs, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2460,"Nervendekompression/Neurolyse, N. medianus, N. ulnaris, N. musculocutaneus motorisch und sensibler Ast, im Oberarmbereich, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2470,"Nervendekompression/Neurolyse, N. radialis im Oberarmbereich, ein Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2480,"Nervendekompression/Neurolyse, N. radialis im Oberarmbereich, zwei Zugänge, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2490,"Nervendekompression/Neurolyse, N. axillaris, ein Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2500,"Nervendekompression/Neurolyse, N. axillaris, doppelter Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2510,"Dekompression und Neurolyse, Plexus brachialis, supraclaviculärer oder infraclaviculärer Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2520,"Nervendekompression/Neurolyse, N. suprascapularis, ein Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2530,"Nervendekompression/Neurolyse, N. suprascapularis, doppelter Zugang, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2540,"Nervendekompression/Neurolyse, N. iliohypogastricus oder N. ilioinguinalis, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2550,"Nervendekompression/Neurolyse, N. femoralis am Oberschenkel, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2560,"Nervendekompression/Neurolyse, N. saphenus am Oberschenkel, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2570,"Nervendekompression/Neurolyse, N. cutaneus femoralis lateralis, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2580,"Nervendekompression/Neurolyse, N. peronaeus, im Kniebereich, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2590,"Nervendekompression/Neurolyse, N. peronaeus, im Beinbereich, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2600,"Dekompression/Neurolyse, Plexus lumbo-sacralis, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,05.2610,"Dekompression/Neurolyse, N. ischiadicus, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,07.1410,"Neurolyse des N. mentalis, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,07.1450,"Neurolyse des N. lingualis/N. alveolaris inferior, als alleinige Leistung"
